feature_cluster	all_commits	non_merge_commits	changed_files_sum	additions_sum	deletions_sum
admin_backup_notifications	7	7	122	10591	2325
admin_provider_operations	5	5	29	1780	227
auth_security_privacy	28	28	178	4868	1894
billing_wallet_payments	8	8	109	10221	881
claude_protocol	7	7	37	1934	270
data_sql_storage	18	18	146	33996	5504
frontend_ux_i18n	26	26	259	16427	7165
gemini_antigravity_protocol	24	24	252	11352	1496
integration_merge	184	0	9338	1274103	794195
managed_prompts_groups	1	1	1	3	3
model_catalog_pricing	16	16	179	16702	2519
openai_codex_responses	91	91	963	55205	8948
other_provider_protocols	22	22	211	22554	841
provider_oauth_management	61	61	634	33420	4975
provider_protocol_runtime	12	12	90	18096	611
provider_request_runtime	1	1	152	14293	2384
routing_scheduler	27	27	175	12632	2912
runtime_performance	35	35	651	94425	14236
stream_failover_timing	59	59	359	23355	4766
testing_ci_build	61	61	225	4226	7980
tunnel_delivery_operations	22	22	162	9878	1023
usage_observability	57	57	438	26631	5222
workspace_architecture	4	4	1644	367932	354978
