branch	commit	date	author	parent_count	is_merge	topic	subject
aether	2ca4b486ecf2417a8a55b871396a58fc18e98dd8	2026-05-16T15:08:16+08:00	beilo	1	no	routing_scheduler	fix: auto-remove invalid oauth pool keys
aether	64b41434ce1345961e519ff5bbb92510f7bdc0f3	2026-05-18T20:46:53+08:00	RWDai	1	no	auth_security	Add API key allowed IP migrations
aether	437024cdb1d698d560742cbab18d4592941223f6	2026-05-18T20:47:03+08:00	RWDai	1	no	auth_security	Add API key allowed IP data types
aether	276d19b63cae886b44708cbd75c6a908ee2c372c	2026-05-18T20:47:17+08:00	RWDai	1	no	auth_security	Persist allowed IPs in auth repositories
aether	fc12cc8a36054ee4206a5175fa38d7ee587fde07	2026-05-18T20:47:28+08:00	RWDai	1	no	auth_security	Enforce API key IP restrictions in proxy auth
aether	96b857f642496e613419b4e65b631cfdfadf361a	2026-05-18T20:47:37+08:00	RWDai	1	no	auth_security	Support allowed IPs in user API key endpoints
aether	ab53326865b40c7e08449409ae0e0c83cc38f95c	2026-05-18T20:47:46+08:00	RWDai	1	no	other	Support allowed IPs in admin user key endpoints
aether	d8f68c1d9a5d09e1c9ae7d60852159518a5f0bb6	2026-05-18T20:47:57+08:00	RWDai	1	no	other	Preserve allowed IP defaults in admin key imports
aether	bcca8d295ac8d65c4291db4d534040c27526e33e	2026-05-18T20:48:05+08:00	RWDai	1	no	auth_security	Update auth context test fixtures
aether	2a3593d9c5404b5bb9b943c792afe95db1c77229	2026-05-18T20:48:14+08:00	RWDai	1	no	billing_wallet	Update planner auth snapshot fixtures
aether	460cd63d3aa0027e74727454e83c61d66a959ae1	2026-05-18T20:48:21+08:00	RWDai	1	no	auth_security	Add user API key IP whitelist UI
aether	c6ee558180b7f0c831fe50a1a579f7621d544b34	2026-05-18T20:48:28+08:00	RWDai	1	no	frontend_product	Add admin user key IP whitelist UI
aether	6c16f399d4f856a3e98caf59bd069cfeb51d128c	2026-05-18T23:51:14+08:00	yangrs	1	no	other	feat: 重要通知模块、Server 酱独立配置与额度提醒
aether	f1687017e6379f47875a1763a6cd1a0454a7bffd	2026-05-19T10:22:50+08:00	RWDai	1	no	provider_protocol	Fix provider endpoint format normalization path
aether	2aab1ea97bd9af08c7c46fa9e536bb3f41385968	2026-05-19T10:23:15+08:00	RWDai	1	no	auth_security	Clean up gateway API key whitelist handlers
aether	b05264ff743bfd832f972b3f9ae4fc81fd7a0cf6	2026-05-19T10:23:32+08:00	RWDai	1	no	billing_wallet	Stabilize wallet today usage test timing
aether	95af482ffef1344ae7453437c68a3e4223dd17b2	2026-05-19T10:23:54+08:00	RWDai	1	no	auth_security	Update auth snapshot observability fixture
aether	6a104d5736f0df89172c5e36a6dfa8d30ce93e9c	2026-05-19T10:24:27+08:00	RWDai	1	no	other	Add allowed IPs to data schema sources
aether	02f09c2056ba21b0c9f5daeef0abaf633593f537	2026-05-19T10:24:47+08:00	RWDai	1	no	auth_security	Regenerate API key schema baselines
aether	d19bf71343094fe3561120b57da2615709810515	2026-05-19T10:25:06+08:00	RWDai	1	no	other	Refresh migration cutoff expectations
aether	75aa3dc0cc096d34e9bb7e607b8abe1b2134b870	2026-05-19T13:41:18+08:00	beilo	1	no	auth_security	fix: refine oauth auto-removal behavior
aether	3a318a86b2a180d911b3a2f17fd16865c58edb8d	2026-05-19T19:01:10+08:00	zhiqicloud	1	no	other	支持官方直连支付、退款配置与套餐联动
aether	fbda210b8485dc791e07f54f1809b5fff412fa86	2026-05-20T01:22:55+08:00	fawney19	2	yes	other	Merge pull request #511
aether	97b05e744f02805d257cdbea80deeeef832ea5c4	2026-05-19T19:01:10+08:00	zhiqicloud	1	no	other	支持官方直连支付、退款配置与套餐联动
aether	65e3b6f3da403f03535375e46292165f85be962e	2026-05-20T09:52:39+08:00	mayrain	1	no	provider_protocol	fix(codex): trigger image override only on explicit tool_choice
aether	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	RWDai	2	yes	stream_execution	Merge upstream main into feat/500-api-key-ip-whitelist
aether	61bcbe826a0b016469e0f666e1fcd84ced60b718	2026-05-20T10:34:22+08:00	fawney19	1	no	auth_security	fix: tighten OAuth auto cleanup signals
aether	4d856f3deb05d417ec963f19d3082d6940c643ac	2026-05-20T10:54:32+08:00	fawney19	2	yes	other	Merge remote-tracking branch 'origin/pr/516'
aether	84c4c2f9c210a04070c167410d8879d7e88d3297	2026-05-20T11:02:41+08:00	RWDai	1	no	other	fix(gateway): preserve image generation tools
aether	316b1e320763a2d8de7092509671b4dd36a56347	2026-05-20T11:14:43+08:00	RWDai	2	yes	stream_execution	Merge remote-tracking branch 'upstream/main' into feat/500-api-key-ip-whitelist
aether	490306c2421e91631ca2db7124a926a8b91c55ea	2026-05-20T11:19:58+08:00	fawney19	2	yes	other	Merge commit 'refs/pull/511/head' of github-fawney19:fawney19/Aether
aether	149651f83130ad0155e5516a8463f50cf42f7b3e	2026-05-20T11:22:45+08:00	RWDai	1	no	other	test(gateway): expect image bridge tools
aether	122daf0f87d56c7ce2b2fe119bb27b0497f00c44	2026-05-20T12:33:31+08:00	zhiqicloud	1	no	provider_protocol	支持 Provider Key 余额查询与自动刷新
aether	ebc1774300186f091c9822f1778c7803c57eaf55	2026-05-20T13:04:22+08:00	zhiqicloud	1	no	other	修正 new_api 验证测试断言
aether	89860bec977ba1597807cef222f3e528dde1db01	2026-05-20T13:17:24+08:00	ZheFox	1	no	routing_scheduler	fix(codex): restrict openai image routing to codex responses
aether	7d5ad1e70e985985f88d1f1286aa29bee74e08f9	2026-05-20T13:32:14+08:00	ZheFox	1	no	provider_protocol	chore(gateway): silence dead code warnings in openai image bridge
aether	1604a6d87dd707183fdd7d5737539da361c9cc23	2026-05-20T13:41:14+08:00	RWDai	1	no	auth_security	fix(gateway): allow clearing API key IP whitelists
aether	7284165f39ebc296dac3d63f4ec0d602031cee06	2026-05-20T13:42:55+08:00	RWDai	1	no	delivery_operations	feat(tunnel): add tunnel IP family controls
aether	edded777e7c28aedb65ea7733575b469774c29cc	2026-05-20T13:43:22+08:00	RWDai	1	no	delivery_operations	docs(tunnel): document IP family controls
aether	f4c79c80ac7aa03a6561c03d25ce1a2e215f27a9	2026-05-20T13:50:58+08:00	RWDai	1	no	delivery_operations	fix(tunnel): allow explicit false IP family flags
aether	7e95e769d52fa88d0e28e092542ea702205b7d60	2026-05-20T13:59:24+08:00	fawney19	2	yes	provider_protocol	Merge pull request #517 from zhiqicloud/feat/provider-balance-query
aether	b6bdc08267b74b6d6595f756ad243b5260ce18c8	2026-05-20T14:05:00+08:00	fawney19	2	yes	other	Merge branch 'pr-501'
aether	232006f71dcb52eded70c81a9c4c0a44cd408c44	2026-05-20T14:42:52+08:00	RWDai	1	no	frontend_product	fix(tunnel): restore IP family flag test builds
aether	eb63838f6abbb5ffadc793836b01a1cbdf10b523	2026-05-20T14:43:24+08:00	RWDai	1	no	delivery_operations	fix(proxy): keep legacy installer URLs working
