branch	path	primary_subsystem	change_scope	final_exists	commit_count	feature_clusters	first_commit	first_date	last_commit	last_date	last_subject	commits
aether	.env.example	delivery_operations	both_changed_diverged	yes	23	auth_security_privacy:3,data_sql_storage:2,integration_merge:9,provider_oauth_management:1,runtime_performance:4,stream_failover_timing:1,tunnel_delivery_operations:3	76752beca67f4ebafe47c2c7964967e9cd8884c7	2026-05-20T17:41:52+08:00	29fa4aed19c594bc4d7dca33d17bdb7a0bf1955e	2026-08-12T16:53:59+08:00	perf(gateway): raise default server pool floor	76752beca67f4ebafe47c2c7964967e9cd8884c7,a31e237cc31f4ffd010b29ae7b4a0291a39ebffe,9562295d8b2b2b9bdfd529173c6076166f7ae3e5,b84e4a96e2e33091a43553077ae9f086fd53cd4e,be6e49b9c26a952d76baa801a3cb6cd566305de4,b59c3a9e3bb26e35859781df950cdee82c08c7d2,a4a5f70a109959f9ee0c7001dfcf80a05050d6b4,b5e942ca9db555e9e766b71b8bb7d46562fd3613,4b66cadf15633139d3ded661a26631104d709f5a,18eac2dd7a6c6a2cc6f77ea561e9849e3c33d752,ba9aa7c1bd650a9e82b9cc9813cef863a7f0b528,18d9004f22eec24b30f63a97227bf1b0508de033,83a26093443547ed7dd514b7e25879a5995b46f0,c92bdfba16196274f7abfe55528bf8dab2c8aabb,9ad9858ac285996f6c57073265bc7e87ffbfce8e,7ed4b8465497782de2d511889374f66b1aea8824,392353ffff823b09634edc4dfef63af97a1015a6,5b7805181b371912adc8c35beb0cbaa685faee90,f179ee72f9af45536c7ece76ebbf53e03b66680f,bc1da3bf3f0ea940d07f263ac047495fd60183cf,7f61bb43c7c998280548fe71dd2482099285c140,a04673a90d0d0ae9d07ab1533d6c6c93e07cb5b7,29fa4aed19c594bc4d7dca33d17bdb7a0bf1955e
aether	.github/workflows/build-proxy.yml	unclassified	outside_final_diff	unknown	1	integration_merge:1	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	Merge upstream main into feat/500-api-key-ip-whitelist	bdc848b19e54f6d45757dbfce5c401d74e6a7850
aether	.github/workflows/build-tunnel.yml	delivery_operations	both_changed_diverged	yes	4	integration_merge:3,testing_ci_build:1	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	ec1783a35c81c11161a6ebd16929f539b2e4a9c6	2026-07-16T23:43:04+08:00	Merge remote-tracking branch 'origin/main' into codex/pool-key-bulk-management-20260714	bdc848b19e54f6d45757dbfce5c401d74e6a7850,d6215d9dec46e429e7d4225de4c0e0c53521afd8,427030c5def94ad8885e3d99b7bf41f421de3697,ec1783a35c81c11161a6ebd16929f539b2e4a9c6
aether	.github/workflows/release.yml	delivery_operations	both_changed_diverged	yes	10	data_sql_storage:1,integration_merge:7,tunnel_delivery_operations:2	9562295d8b2b2b9bdfd529173c6076166f7ae3e5	2026-05-20T22:02:47+08:00	9ad9858ac285996f6c57073265bc7e87ffbfce8e	2026-05-28T11:58:00+08:00	Merge origin/main into fix/gemini-cli-v1internal	9562295d8b2b2b9bdfd529173c6076166f7ae3e5,b59c3a9e3bb26e35859781df950cdee82c08c7d2,4b66cadf15633139d3ded661a26631104d709f5a,ba9aa7c1bd650a9e82b9cc9813cef863a7f0b528,72d43878efe93f6ab8f5827b9b29bf31d9b0814e,2df9615fb91b8b8f528afac1b6af98606e2d7432,505d9fd8bc7f2fbceca6adf7122c3e377f84e5fd,e9efc5c42a3a2f562045631af0c306841883225d,230ce5df5fff889fd92ed0b71d9fe1f4ef3c63ad,9ad9858ac285996f6c57073265bc7e87ffbfce8e
aether	.github/workflows/rust-ci.yml	delivery_operations	both_changed_diverged	yes	14	integration_merge:7,openai_codex_responses:1,stream_failover_timing:1,testing_ci_build:4,workspace_architecture:1	5ac153a0bb50286601d56bc64332bd64c9796aaa	2026-06-03T01:32:25+08:00	a97acc07fcf985ba427f949e70360f1d97f6aa37	2026-07-29T22:16:17+08:00	Merge pull request #698 from zhefox/main	5ac153a0bb50286601d56bc64332bd64c9796aaa,85573d798032094107792ef73254c49f345923e8,c54b21465789b427c44ac3bb3af7c6b8e1f7d552,3472bb75e75c900efec95414cbc6be55e670d1f2,cf0af8fa1e7d807204966ba683b21b2af03bbb41,dfa121dd5b495a69bbe5a8dda53e206524cf302d,cf0d957ac7495f266457492a3a0cb29c58d2d436,e58621a735df5901eadf6916f779f542c2d8cb73,8616fe6ee2dad6b2e19364f5e8e329ee37125d39,427030c5def94ad8885e3d99b7bf41f421de3697,ec1783a35c81c11161a6ebd16929f539b2e4a9c6,8fbda84acb1acc57c372725c52b668b17679bb01,f8000012f71c1ddefe8ecc953f14836027936509,a97acc07fcf985ba427f949e70360f1d97f6aa37
aether	.gitignore	repository_other	both_changed_diverged	yes	7	data_sql_storage:1,integration_merge:5,provider_oauth_management:1	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	302620cb940d12473984f33410610d70d700c84b	2026-06-16T12:17:28+08:00	Merge branch 'fawney19:main' into main	bdc848b19e54f6d45757dbfce5c401d74e6a7850,5643b2c9014c1521f88542968c8453458e3f4050,ba9aa7c1bd650a9e82b9cc9813cef863a7f0b528,9ad9858ac285996f6c57073265bc7e87ffbfce8e,308cc88ef7f9e2826f9c7639fda5d42ee3b2137a,c255f29e98c0d782132e31c52aa8457d408ba18c,302620cb940d12473984f33410610d70d700c84b
aether	.mise.toml	unclassified	outside_final_diff	unknown	1	integration_merge:1	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	Merge upstream main into feat/500-api-key-ip-whitelist	bdc848b19e54f6d45757dbfce5c401d74e6a7850
aether	Cargo.lock	build_dependencies	both_changed_diverged	yes	44	admin_backup_notifications:1,billing_wallet_payments:2,data_sql_storage:1,integration_merge:22,openai_codex_responses:2,provider_oauth_management:1,provider_request_runtime:1,runtime_performance:5,testing_ci_build:1,tunnel_delivery_operations:7,workspace_architecture:1	3a318a86b2a180d911b3a2f17fd16865c58edb8d	2026-05-19T19:01:10+08:00	a97acc07fcf985ba427f949e70360f1d97f6aa37	2026-07-29T22:16:17+08:00	Merge pull request #698 from zhefox/main	3a318a86b2a180d911b3a2f17fd16865c58edb8d,97b05e744f02805d257cdbea80deeeef832ea5c4,fbda210b8485dc791e07f54f1809b5fff412fa86,bdc848b19e54f6d45757dbfce5c401d74e6a7850,316b1e320763a2d8de7092509671b4dd36a56347,ab0a90de9794a7267b5a589d00760854af6c0fa7,2e701a90c9d80e97ac508ae5d24ad360dbe481cb,33633637e5b202deaa2ac564b54ffbf3e02a0d53,b59c3a9e3bb26e35859781df950cdee82c08c7d2,a4a5f70a109959f9ee0c7001dfcf80a05050d6b4,8b7643e150e7a2945ec84aed9e13ace514621aeb,74f73485292125e5a95a22c6a3c8fef9cae8b5e5,4b66cadf15633139d3ded661a26631104d709f5a,0f2a96554fcbdcf939371fcf4e4b0e6142d64a25,92fd253caea03fb6a910f2431621333b00639726,ba9aa7c1bd650a9e82b9cc9813cef863a7f0b528,80054276eb7e0c2df011db9aed7b9dfce9c1a9fc,c09bb28d16b0311f8baa6009f9580b41314da72e,c92bdfba16196274f7abfe55528bf8dab2c8aabb,480579a0d5a11594552bddb332c67d8df6d692e5,cc3ce8b5d77d78fbfa497c57a23bce0945da8f47,e9efc5c42a3a2f562045631af0c306841883225d,230ce5df5fff889fd92ed0b71d9fe1f4ef3c63ad,84c8bc960e432a85dd26c571b6f7954a5d4f2b67,bd71a46c2539629e4672d9a9d2caf1303157acd9,9ad9858ac285996f6c57073265bc7e87ffbfce8e,b9612fef9be6bb05de979669ef8facd1d79113cf,549463088cdf7b46508e06cb4b4128809484fbd6,37413c0211cd1fe4c6185117abdfc7aa4cdd9c59,d336d1a7fabf3e3b5e3b97adb3fa0b656a5b586b,6f00e9fc67d71cefc861037c56e144bd78ad69f6,f179ee72f9af45536c7ece76ebbf53e03b66680f,8616fe6ee2dad6b2e19364f5e8e329ee37125d39,427030c5def94ad8885e3d99b7bf41f421de3697,ec1783a35c81c11161a6ebd16929f539b2e4a9c6,b61c590bdb5b5adacb0fc1ae815872c0459ebd1f,fc92c4f4310f8611fe41f8ad93730a28dd46310c,c82537536703d65584227190085aef5fcb07488d,3606290ac88b5265978e79f5e211d6247009f889,e186cc68485b61aadf01ebf2249fe865bd5b2e72,778cfb1a5c5e67dba8cd0545d9ceaa0497c63e35,531cf110250579af2013baccea5bece4765a3442,f8000012f71c1ddefe8ecc953f14836027936509,a97acc07fcf985ba427f949e70360f1d97f6aa37
aether	Cargo.toml	build_dependencies	both_changed_diverged	yes	21	admin_backup_notifications:1,integration_merge:13,openai_codex_responses:1,runtime_performance:3,tunnel_delivery_operations:2,workspace_architecture:1	bdc848b19e54f6d45757dbfce5c401d74e6a7850	2026-05-20T10:26:56+08:00	c82537536703d65584227190085aef5fcb07488d	2026-07-22T09:20:11+08:00	Merge pull request #688 from AAEE86/feat/agent-identity-support	bdc848b19e54f6d45757dbfce5c401d74e6a7850,ab0a90de9794a7267b5a589d00760854af6c0fa7,2e701a90c9d80e97ac508ae5d24ad360dbe481cb,b59c3a9e3bb26e35859781df950cdee82c08c7d2,a4a5f70a109959f9ee0c7001dfcf80a05050d6b4,8b7643e150e7a2945ec84aed9e13ace514621aeb,74f73485292125e5a95a22c6a3c8fef9cae8b5e5,4b66cadf15633139d3ded661a26631104d709f5a,0f2a96554fcbdcf939371fcf4e4b0e6142d64a25,92fd253caea03fb6a910f2431621333b00639726,ba9aa7c1bd650a9e82b9cc9813cef863a7f0b528,84c8bc960e432a85dd26c571b6f7954a5d4f2b67,bd71a46c2539629e4672d9a9d2caf1303157acd9,9ad9858ac285996f6c57073265bc7e87ffbfce8e,d336d1a7fabf3e3b5e3b97adb3fa0b656a5b586b,6f00e9fc67d71cefc861037c56e144bd78ad69f6,8616fe6ee2dad6b2e19364f5e8e329ee37125d39,427030c5def94ad8885e3d99b7bf41f421de3697,ec1783a35c81c11161a6ebd16929f539b2e4a9c6,b61c590bdb5b5adacb0fc1ae815872c0459ebd1f,c82537536703d65584227190085aef5fcb07488d
aether	Dockerfile.app	delivery_operations	both_changed_diverged	yes	9	auth_security_privacy:1,integration_merge:5,tunnel_delivery_operations:3	9562295d8b2b2b9bdfd529173c6076166f7ae3e5	2026-05-20T22:02:47+08:00	9ad9858ac285996f6c57073265bc7e87ffbfce8e	2026-05-28T11:58:00+08:00	Merge origin/main into fix/gemini-cli-v1internal	9562295d8b2b2b9bdfd529173c6076166f7ae3e5,b59c3a9e3bb26e35859781df950cdee82c08c7d2,4b66cadf15633139d3ded661a26631104d709f5a,18eac2dd7a6c6a2cc6f77ea561e9849e3c33d752,ba9aa7c1bd650a9e82b9cc9813cef863a7f0b528,18d9004f22eec24b30f63a97227bf1b0508de033,83a26093443547ed7dd514b7e25879a5995b46f0,c92bdfba16196274f7abfe55528bf8dab2c8aabb,9ad9858ac285996f6c57073265bc7e87ffbfce8e
