feature_cluster	all_commits	non_merge_commits	changed_files_sum	additions_sum	deletions_sum
admin_frontend_experience	8	8	118	6927	1137
billing_plans_wallet_payments	36	36	770	42061	6460
branding_foundation	2	2	134	5800	727
ccswitch_compatibility	3	3	13	222	37
codex_responses_images	36	36	330	18905	1992
content_moderation	3	3	136	5879	327
data_schema_storage	7	7	28	2611	63
email_registration_auth	8	8	84	7453	5033
grok_oauth	4	4	93	5376	576
integration_merge	41	0	1858	122923	32066
managed_prompts_groups	3	3	119	5400	1061
model_catalog_aliases	2	2	25	1477	279
niffler_core_migration	51	51	469	31829	1490
platform_bundle_20260626	1	1	23	463	58
platform_bundle_20260803	1	1	58	5619	94
provider_oauth_import	11	11	82	3220	438
provider_pool_management	18	18	254	8568	1760
public_site_image_tools	10	10	386	17205	11447
release_deployment_operations	30	30	201	6581	4064
stream_failover_timing	3	3	5	528	105
testing_ci_build	63	63	147	2071	997
usage_accounting_observability	16	16	224	14871	2625
