branch	commit	date	author	parent_count	is_merge	topic	subject	first_parent	changed_files	additions	deletions	binary_files	top_subsystems	top_components	feature_cluster	classification_source	recommended_disposition	decision_rationale
niffler	b1e9108cf695ca4272b5893b13a36ca37c754797	2026-05-20T22:42:54+08:00	ryfineZ	1	no	other	feat(project): 更名为 Niffler 并优化数据库写入	ed75ae6d56ab03eb5e6e3cd87f2137880c99694d	92	2332	687	0	frontend_product:26,tunnel_frontdoor:15,documentation:14,gateway_other:14,delivery_operations:5	apps/aether-gateway:29,frontend/src/views:19,apps/aether-tunnel:13,docs:12,frontend:3	branding_foundation	subject_rule	KEEP_REBASE	保留品牌和产品身份；通用底层变更按上游架构重放
niffler	be4d2d257ca5bb99635f6e40ed2b3c51d2cdd09b	2026-05-20T23:02:51+08:00	ryfineZ	1	no	other	chore(project): 更新仓库与镜像链接	b1e9108cf695ca4272b5893b13a36ca37c754797	6	9	9	0	delivery_operations:5,backend_shared:1	scripts:2,.github:1,crates/aether-admin:1,docker-compose.yml:1,install.sh:1	release_deployment_operations	subject_rule	KEEP	Niffler 生产受保护发布和拓扑独立保留
niffler	48e4a6042ac31878a46153194998391036b3834b	2026-05-28T05:31:32+08:00	ryfineZ	1	no	auth_security	feat(oauth): 支持 CPA 凭证导入	be4d2d257ca5bb99635f6e40ed2b3c51d2cdd09b	10	291	25	0	routing_scheduler:6,auth_security:2,provider_protocol:1,frontend_product:1	apps/aether-gateway:9,frontend/src/api:1	provider_oauth_import	subject_rule	KEEP_REBASE	保留外部格式兼容，转换到上游最新凭证契约
niffler	9451053b5691810597d204c49e2deaeae4c6cd46	2026-05-28T05:56:52+08:00	ryfineZ	1	no	other	fix(data): 补齐已上线迁移文件	48e4a6042ac31878a46153194998391036b3834b	3	17	0	0	data_storage:3	crates/aether-data:3	data_schema_storage	subject_rule	KEEP_REBASE	保留已上线数据语义，迁入上游分层数据架构
niffler	d98fddc757ce41e0b564a8a8c072d8c0d0cbd0cc	2026-05-28T06:34:47+08:00	ryfineZ	1	no	billing_wallet	feat(billing): 支持周期额度套餐	9451053b5691810597d204c49e2deaeae4c6cd46	50	2304	627	0	data_storage:18,billing_wallet:14,frontend_product:12,usage_observability:3,gateway_other:2	crates/aether-data:31,frontend/src/views:6,apps/aether-gateway:5,frontend/src/api:3,frontend/src/utils:3	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	f7d9cbf13c2ae46098633bc2e570a31039df2627	2026-05-28T06:37:46+08:00	ryfineZ	1	no	other	feat(project): 提交剩余二开功能	d98fddc757ce41e0b564a8a8c072d8c0d0cbd0cc	42	3468	40	0	routing_scheduler:6,gateway_other:6,auth_security:5,repository_other:4,billing_wallet:4	apps/aether-gateway:26,crates/aether-scheduler-core:4,frontend/src/features:2,.dockerignore:1,.env.example:1	branding_foundation	manual	KEEP_REBASE	保留品牌和产品身份；通用底层变更按上游架构重放
niffler	9174139bdf196798309b3e11b6c3b8a463b2fcdb	2026-05-28T06:48:10+08:00	ryfineZ	1	no	frontend_product	fix(build): 避免 Docker 复用旧编译缓存	f7d9cbf13c2ae46098633bc2e570a31039df2627	1	1	0	0	delivery_operations:1	Dockerfile.app.local:1	release_deployment_operations	subject_rule	KEEP	Niffler 生产受保护发布和拓扑独立保留
niffler	b076c9a208fbea3eb313d359d4734ea9dbc607df	2026-05-28T16:23:36+08:00	ryfineZ	1	no	billing_wallet	feat(billing): 支持手动发放套餐设置时间额度	9174139bdf196798309b3e11b6c3b8a463b2fcdb	9	637	29	0	billing_wallet:5,frontend_product:2,gateway_other:1,documentation:1	crates/aether-data:5,apps/aether-gateway:1,docs:1,frontend/src/api:1,frontend/src/views:1	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	4495692f69ea28f3475e9be19044fc4e7b6793d3	2026-05-28T16:28:05+08:00	ryfineZ	1	no	auth_security	feat(oauth): 支持导入时覆盖已有账号	b076c9a208fbea3eb313d359d4734ea9dbc607df	3	161	5	0	routing_scheduler:1,auth_security:1,tests:1	apps/aether-gateway:3	provider_oauth_import	subject_rule	KEEP_REBASE	保留外部格式兼容，转换到上游最新凭证契约
niffler	86495606d93eee81c9867d6dfe3712f569823341	2026-05-29T01:53:41+08:00	ryfineZ	1	no	billing_wallet	feat(payments): 接入 DoDoPay 并修复 Codex 请求格式	4495692f69ea28f3475e9be19044fc4e7b6793d3	14	793	172	0	billing_wallet:6,gateway_other:3,provider_protocol:2,documentation:1,runtime_performance:1	apps/aether-gateway:8,README.md:1,crates/aether-ai-formats:1,crates/aether-scheduler-core:1,docs:1	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	9f76b73f4605bea6992c5b7326fd3decfd081bee	2026-05-29T03:14:22+08:00	ryfineZ	1	no	billing_wallet	fix(billing): 拆分套餐有效期并修复发放时间	86495606d93eee81c9867d6dfe3712f569823341	4	62	29	0	documentation:2,frontend_product:2	docs:2,frontend/src/components:1,frontend/src/views:1	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	d89758f3eb2b13218337041bb4e1a908a67da3f0	2026-05-29T07:08:26+08:00	ryfineZ	1	no	provider_protocol	fix(codex): 兼容字符串形式的 Responses 输入	9f76b73f4605bea6992c5b7326fd3decfd081bee	2	102	0	0	provider_protocol:2	crates/aether-ai-formats:1,docs:1	codex_responses_images	subject_rule	KEEP_REBASE	保留产品能力，与上游最终协议状态机做语义合并
niffler	de02cbdb243c8d44ef7475f832eff405d250f0aa	2026-05-29T14:29:20+08:00	ryfineZ	1	no	other	fix(gateway): 阻止未登录 AI 请求污染记录	d89758f3eb2b13218337041bb4e1a908a67da3f0	9	397	16	0	gateway_other:4,tests:2,usage_observability:1,documentation:1,frontend_product:1	apps/aether-gateway:7,docs:1,frontend/src/views:1	usage_accounting_observability	subject_rule	KEEP_REBASE	保留业务口径，采用上游诊断、队列和端到端时间
niffler	e3de13e8c7c3772dd132e63f3807ae6aa2402dba	2026-05-30T12:34:29+08:00	ryfineZ	1	no	runtime_performance	perf(billing): 降低套餐请求前数据库压力	de02cbdb243c8d44ef7475f832eff405d250f0aa	27	2173	52	0	billing_wallet:16,frontend_product:6,documentation:2,auth_security:1,data_storage:1	crates/aether-data:10,apps/aether-gateway:4,docs:3,frontend/src/views:3,crates/aether-data-contracts:2	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	f19eabc83da03ede437f3abc345df321ae27da6e	2026-05-30T13:00:11+08:00	ryfineZ	1	no	other	feat(api-keys): 增加接入选择并保护账号状态	e3de13e8c7c3772dd132e63f3807ae6aa2402dba	14	1005	76	0	provider_protocol:6,gateway_other:2,documentation:2,routing_scheduler:1,auth_security:1	crates/aether-provider-pool:6,apps/aether-gateway:5,docs:2,frontend/src/views:1	provider_pool_management	subject_rule	KEEP_REBASE	保留运营能力，迁入上游调度、缓存和批量接口
niffler	51f36b8e9339748d8d88564f77ca363462ddfdb5	2026-05-30T20:40:55+08:00	ryfineZ	1	no	billing_wallet	feat(billing): 支持分组按量计费	f19eabc83da03ede437f3abc345df321ae27da6e	60	1884	163	0	billing_wallet:13,auth_security:12,gateway_other:7,data_storage:7,frontend_product:7	apps/aether-gateway:25,crates/aether-data:20,frontend/src/views:4,crates/aether-usage-runtime:3,frontend/src/api:2	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	0bdefb9cb94a923a71f82f3ce82008e6652090e0	2026-05-31T00:41:11+08:00	ryfineZ	1	no	billing_wallet	feat(billing): 完善套餐管理体验	51f36b8e9339748d8d88564f77ca363462ddfdb5	19	639	80	0	billing_wallet:6,gateway_other:5,frontend_product:4,tests:2,data_storage:1	apps/aether-gateway:9,crates/aether-data:4,frontend/src/views:2,crates/aether-data-contracts:1,docs:1	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	6746c2b3f5bbc8ba5c7aae62c44704496600b0cd	2026-05-31T16:28:35+08:00	ryfineZ	1	no	billing_wallet	feat: improve billing plans and provider controls	0bdefb9cb94a923a71f82f3ce82008e6652090e0	85	2349	674	0	billing_wallet:22,gateway_other:17,provider_protocol:15,frontend_product:15,documentation:6	apps/aether-gateway:40,frontend/src/features:10,crates/aether-data:9,docs:8,frontend/src/api:6	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	6e0ad3ea896faa700ad200895c2e65d04c6dd557	2026-05-31T19:28:23+08:00	ryfineZ	1	no	billing_wallet	fix(billing): 修复套餐和分组计费问题	6746c2b3f5bbc8ba5c7aae62c44704496600b0cd	19	370	163	0	auth_security:5,provider_protocol:4,billing_wallet:3,tests:2,data_storage:2	apps/aether-gateway:7,crates/aether-data:6,frontend/src/features:3,docs:2,frontend/src/views:1	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	4354297bb2aab5e3960384df1978383f896e5198	2026-05-31T19:39:01+08:00	ryfineZ	1	no	delivery_operations	chore(deploy): 改为 CI 构建镜像发布	6e0ad3ea896faa700ad200895c2e65d04c6dd557	7	245	161	0	delivery_operations:4,documentation:2,repository_other:1	.github:2,.env.example:1,README.md:1,deploy.sh:1,docker-compose.single-node.yml:1	release_deployment_operations	subject_rule	KEEP	Niffler 生产受保护发布和拓扑独立保留
niffler	841439082173ccb840db9051ad88b7889f2bde0b	2026-05-31T20:43:45+08:00	ryfineZ	1	no	delivery_operations	chore(deploy): 支持 CI 镜像文件发布	4354297bb2aab5e3960384df1978383f896e5198	4	198	10	0	delivery_operations:2,documentation:2	.github:1,README.md:1,docs:1,scripts:1	release_deployment_operations	subject_rule	KEEP	Niffler 生产受保护发布和拓扑独立保留
niffler	698517a554d2dc462368b513345cbf25ca33c1d2	2026-05-31T20:48:57+08:00	ryfineZ	1	no	delivery_operations	fix(deploy): 指定 CI 产物仓库	841439082173ccb840db9051ad88b7889f2bde0b	2	5	1	0	documentation:1,delivery_operations:1	docs:1,scripts:1	release_deployment_operations	subject_rule	KEEP	Niffler 生产受保护发布和拓扑独立保留
niffler	08c4b8fea8f94b1d90bac4cfb45cf209fc1889a6	2026-05-31T21:13:42+08:00	ryfineZ	1	no	delivery_operations	fix(deploy): 正确重启多个远端服务	698517a554d2dc462368b513345cbf25ca33c1d2	1	4	3	0	delivery_operations:1	scripts:1	release_deployment_operations	subject_rule	KEEP	Niffler 生产受保护发布和拓扑独立保留
niffler	578bcf32a9ea1e13c62f99376c47718041482074	2026-06-01T04:40:19+08:00	ryfineZ	1	no	billing_wallet	feat(billing): 完善分组计费和核账体验	08c4b8fea8f94b1d90bac4cfb45cf209fc1889a6	30	779	87	0	auth_security:10,frontend_product:6,data_storage:3,gateway_other:3,usage_observability:3	apps/aether-gateway:10,crates/aether-data:9,frontend/src/features:4,frontend/src/api:3,frontend/src/views:3	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	f55530f446ca0d7cb17e87c5c3a1c4d9a60f969e	2026-06-01T05:24:55+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 修复分组计费构建检查	578bcf32a9ea1e13c62f99376c47718041482074	10	226	156	0	billing_wallet:6,data_storage:4	crates/aether-data:7,apps/aether-gateway:2,crates/aether-billing:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
